,longrun_skews,longrun_means,longrun_stds,constant,sizes,horizons,equal,value,minvar,riskpar,rand
101,3.100964321304845,179.12287822079332,315.3584047879614,1.0,2,7.0,0.0,1.0,0.0,0.0,0.0
102,3.7318755431327593,332.1436346515472,557.7705577642303,1.0,2,10.0,0.0,1.0,0.0,0.0,0.0
103,5.706722149958357,616.8423210036124,1226.9335343222128,1.0,2,13.0,0.0,1.0,0.0,0.0,0.0
104,4.167790360569557,902.6274218552629,1677.8016540152696,1.0,2,16.0,0.0,1.0,0.0,0.0,0.0
105,7.6117814622359745,1543.6543645527381,4052.9427467097303,1.0,2,19.0,0.0,1.0,0.0,0.0,0.0
106,5.301387027474542,2185.7446736388674,5258.251334011565,1.0,2,22.0,0.0,1.0,0.0,0.0,0.0
107,6.271335263894704,2917.355726125513,8082.234309657906,1.0,2,25.0,0.0,1.0,0.0,0.0,0.0
108,0.9089227348078354,14.303160684679277,31.413466639284056,1.0,5,1.0,0.0,1.0,0.0,0.0,0.0
109,1.450433995881086,65.4052810214295,81.88525548793234,1.0,5,4.0,0.0,1.0,0.0,0.0,0.0
110,1.8814417505196546,145.43463716931336,155.88569984176988,1.0,5,7.0,0.0,1.0,0.0,0.0,0.0
111,1.9526446979604295,242.57234613485633,249.05202272276054,1.0,5,10.0,0.0,1.0,0.0,0.0,0.0
112,2.6703845871292606,453.1197384161799,477.25652805648645,1.0,5,13.0,0.0,1.0,0.0,0.0,0.0
113,3.021117134155481,651.3746152984661,738.0350606408406,1.0,5,16.0,0.0,1.0,0.0,0.0,0.0
114,2.770236993023738,956.5413550100676,1124.1363766696327,1.0,5,19.0,0.0,1.0,0.0,0.0,0.0
115,3.5724824487814257,1460.424500253478,1961.4136063674648,1.0,5,22.0,0.0,1.0,0.0,0.0,0.0
116,3.583096549361162,1770.824026686552,2556.954675786728,1.0,5,25.0,0.0,1.0,0.0,0.0,0.0
117,0.6386026905804012,13.505745901623973,26.303328058509898,1.0,8,1.0,0.0,1.0,0.0,0.0,0.0
118,0.98569082502622,61.138965448647944,66.32243236213462,1.0,8,4.0,0.0,1.0,0.0,0.0,0.0
119,1.5805619950881025,135.12711829468498,122.2785285257552,1.0,8,7.0,0.0,1.0,0.0,0.0,0.0
120,1.72743759901358,236.52456296293286,208.84740590819092,1.0,8,10.0,0.0,1.0,0.0,0.0,0.0
121,1.7208636686952312,392.98651944261974,312.26184821157653,1.0,8,13.0,0.0,1.0,0.0,0.0,0.0
122,2.0331971395598587,569.2164172046457,482.7863454762894,1.0,8,16.0,0.0,1.0,0.0,0.0,0.0
123,2.494611808339668,825.9048895605766,768.6950394406994,1.0,8,19.0,0.0,1.0,0.0,0.0,0.0
124,2.5460199964627805,1143.3585996274003,1123.4034162286825,1.0,8,22.0,0.0,1.0,0.0,0.0,0.0
125,2.938936691510932,1517.7836656470586,1747.793015345538,1.0,8,25.0,0.0,1.0,0.0,0.0,0.0
126,0.5058391702665335,12.171854549651224,23.565341121493606,1.0,11,1.0,0.0,1.0,0.0,0.0,0.0
127,1.0816141281394513,58.457260641786064,61.351837994199826,1.0,11,4.0,0.0,1.0,0.0,0.0,0.0
